dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.0, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.7048, TestAcc: 0.8450, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.0, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.7127, TestAcc: 0.8510, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.6799, TestAcc: 0.8490, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.5972, TestAcc: 0.8410, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.5984, TestAcc: 0.8400, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6013, TestAcc: 0.8450, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6086, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.1, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6088, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.6737, TestAcc: 0.8480, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.5955, TestAcc: 0.8380, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.6001, TestAcc: 0.8390, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.1, dropfeature_rate: 0.2, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.5989, TestAcc: 0.8420, Overall
